band,time_s,relative_frequency_hz,linear_trend_hz,phase_fit_rms_rad
6 m,19.749997999999998,0.1450929418206215,0.3016997054219246,0.1687821474933636
6 m,19.999997999999998,0.19430000334978104,0.30120253562927246,0.2098563697347691
6 m,20.249997999999998,0.24350760877132416,0.3007053732872009,0.1979749181363003
6 m,20.499997999999994,0.2942020893096924,0.3002082109451294,0.1894583722953665
6 m,20.749997999999994,0.3406198099255562,0.29971104860305786,0.184601604790533
6 m,20.999997999999994,0.36667440831661224,0.29921388626098633,0.13329644599333831
6 m,21.249997999999994,0.3679663687944412,0.2987167239189148,0.1277723220318206
6 m,21.499997999999994,0.3469673618674278,0.29821955412626266,0.16723839446436023
6 m,21.749997999999994,0.31636374443769455,0.29772239178419113,0.18757306894081632
6 m,21.999998,0.2843313589692116,0.2972252294421196,0.1851606399064654
6 m,22.249998,0.25575079023838043,0.29672806710004807,0.12047904818884415
6 m,22.499998,0.2508109509944916,0.29623090475797653,0.09959356328906234
6 m,22.749998,0.2835801914334297,0.2957337349653244,0.18023801388234484
6 m,22.999998,0.33002032339572906,0.29523657262325287,0.2212463642750773
6 m,23.249998,0.382776141166687,0.29473941028118134,0.2460074445046799
6 m,23.499998,0.428477019071579,0.2942422479391098,0.20395157097631705
6 m,23.749998,0.458791583776474,0.29374508559703827,0.12110880108710897
6 m,23.999997999999994,0.47084101289510727,0.29324791580438614,0.07856052052241841
6 m,24.249997999999994,0.46817149221897125,0.2927507534623146,0.07962995905861506
6 m,24.499997999999994,0.45090392231941223,0.2922535911202431,0.0834470962687869
6 m,24.749997999999994,0.43225716799497604,0.29175642877817154,0.0833461699518161
6 m,24.999997999999994,0.4048585891723633,0.2912592664361,0.08809934232303943
6 m,25.249997999999994,0.3774574398994446,0.2907620966434479,0.13211665895814986
6 m,25.499997999999994,0.351457417011261,0.29026493430137634,0.14265679254646038
6 m,25.749997999999994,0.3277669623494148,0.2897677719593048,0.1124853671341143
6 m,25.999997999999994,0.3138231411576271,0.2892706096172333,0.07444901156255389
6 m,26.249997999999994,0.32030589133501053,0.28877344727516174,0.09834309964415308
6 m,26.499997999999994,0.34844307601451874,0.2882762774825096,0.1754736260892591
6 m,26.749997999999994,0.4011622369289398,0.2877791151404381,0.2405908694719483
6 m,26.999997999999994,0.45465440303087234,0.28728195279836655,0.23017291432546264
6 m,27.249997999999994,0.4937184527516365,0.286784790456295,0.1845914783414406
6 m,27.499997999999994,0.5155240297317505,0.2862876281142235,0.12765922503774524
6 m,27.749997999999994,0.5347985252737999,0.28579046577215195,0.08845694395681464
6 m,27.999997999999994,0.5532532259821892,0.2852932959794998,0.11321127670387757
6 m,28.249997999999994,0.5576276183128357,0.2847961336374283,0.12079235500085146
6 m,28.499997999999994,0.5382037609815598,0.28429897129535675,0.15299878516468904
6 m,28.749997999999994,0.5097431316971779,0.2838018089532852,0.22436908710287554
6 m,28.999997999999994,0.48138828575611115,0.2833046466112137,0.25734521104739516
6 m,29.249998,0.4691254198551178,0.28280747681856155,0.24668748403348145
6 m,29.499998,0.4607718288898468,0.28231031447649,0.2236721767331218
6 m,29.749998,0.45708067715168,0.2818131521344185,0.21556176743093
6 m,29.999998,0.4623308554291725,0.28131598979234695,0.20864411279181821
6 m,30.249998,0.46043750643730164,0.2808188274502754,0.21509458910690554
6 m,30.499998,0.4514724835753441,0.2803216576576233,0.22875973210274878
6 m,30.749998,0.4254614934325218,0.27982449531555176,0.21941299663486954
6 m,30.999998,0.38749978691339493,0.2793273329734802,0.14475881882461386
6 m,31.249998,0.3676527887582779,0.2788301706314087,0.08325791821530196
6 m,31.499998,0.37294600158929825,0.27833300828933716,0.08690779299914098
6 m,31.749998,0.387787900865078,0.27783583849668503,0.07687295063901467
6 m,31.999998,0.3981499746441841,0.2773386761546135,0.0490518861694968
6 m,32.249998,0.3881360813975334,0.27684151381254196,0.054761926696759444
6 m,32.499998,0.37680794298648834,0.27634435147047043,0.07708261097910303
6 m,32.749998,0.36389368027448654,0.2758471891283989,0.10190997472123457
6 m,32.999998,0.3469228297472,0.27535001933574677,0.09628219542173483
6 m,33.249998,0.3332057520747185,0.27485285699367523,0.06312520160906554
6 m,33.499998,0.3354521319270134,0.2743556946516037,0.07629486513396436
6 m,33.749998,0.3639782890677452,0.27385853230953217,0.1715501686790845
6 m,33.999998,0.41484805941581726,0.27336136996746063,0.24703393877613442
6 m,34.249998,0.46436767280101776,0.2728642076253891,0.2427959159145202
6 m,34.499998,0.49474523961544037,0.27236703783273697,0.1853535883793923
6 m,34.749998,0.5004979819059372,0.27186987549066544,0.1665952140066727
6 m,34.999998,0.48896730691194534,0.2713727131485939,0.1930672136405098
6 m,35.249998,0.4636845737695694,0.27087555080652237,0.20189785152680967
6 m,35.499998,0.43198417872190475,0.27037838846445084,0.14922680763191404
6 m,35.749998,0.41073302924633026,0.2698812186717987,0.0705224146108654
6 m,35.999998,0.41334163397550583,0.2693840563297272,0.0740443425035989
6 m,36.249998,0.43460557609796524,0.26888689398765564,0.09336434174535616
6 m,36.499998,0.4637981504201889,0.2683897316455841,0.10774854742341934
6 m,36.749998,0.4856194630265236,0.2678925693035126,0.10013713178741977
6 m,36.999998,0.4965728148818016,0.26739539951086044,0.08129090135095406
6 m,37.249998,0.4951879382133484,0.2668982371687889,0.08622002433830384
6 m,37.499998,0.48366212099790573,0.2664010748267174,0.11427409666698757
6 m,37.749998,0.4630347862839699,0.26590391248464584,0.12918696657716464
6 m,37.999998,0.4399977773427963,0.2654067501425743,0.10691963640618508
6 m,38.249998,0.42469846457242966,0.2649095803499222,0.05602349441804271
6 m,38.499998,0.42512065172195435,0.26441241800785065,0.05395003570491377
6 m,38.749998,0.4385616034269333,0.2639152556657791,0.0819809528515706
6 m,38.999998,0.46519458293914795,0.2634180933237076,0.116401726817834
6 m,39.249998,0.49967362731695175,0.26292093098163605,0.14801335679877847
6 m,39.499998,0.5320917516946793,0.2624237611889839,0.139571039385368
6 m,39.749998,0.5537352487444878,0.2619265988469124,0.10438233715225227
6 m,39.999998,0.5606982633471489,0.26142943650484085,0.08268170819707883
6 m,40.249998,0.5603289902210236,0.2609322741627693,0.0831534385545844
6 m,40.499998,0.5518112033605576,0.2604351118206978,0.08975331753393741
6 m,40.749998,0.5357323363423347,0.25993794947862625,0.07504962240218212
6 m,40.999998,0.526248924434185,0.2594407796859741,0.03908857552896115
6 m,41.249998,0.5267979726195335,0.2589436173439026,0.038950716224931715
6 m,41.499998,0.5302775576710701,0.25844645500183105,0.035870250024482665
6 m,41.749998,0.535359226167202,0.2579492926597595,0.026174224690160085
6 m,41.999998,0.5374975502490997,0.257452130317688,0.027191121091988627
6 m,42.249998,0.5494064688682556,0.25695496052503586,0.0624700310697463
6 m,42.499998,0.5744223892688751,0.2564577981829643,0.12399432327769383
6 m,42.749998,0.5995757877826691,0.2559606358408928,0.1528753875889649
6 m,42.999998,0.6249653249979019,0.25546347349882126,0.14268199159513228
6 m,43.249998000000005,0.6525636091828346,0.2549663111567497,0.11319548174025817
6 m,43.499998000000005,0.683598518371582,0.2544691413640976,0.10804697174719101
6 m,43.749998000000005,0.7073037549853325,0.25397197902202606,0.08794231206657228
6 m,43.999998000000005,0.7141118571162224,0.25347481667995453,0.07962168861706626
6 m,44.249998000000005,0.7263049259781837,0.252977654337883,0.10537658430478544
6 m,44.499998000000005,0.7770643159747124,0.25248049199581146,0.2398430145566142
6 m,44.749998000000005,0.8496746569871902,0.25198332220315933,0.34314944931645625
6 m,44.999998000000005,0.9113520234823227,0.2514861598610878,0.3562047733458626
6 m,45.249998000000005,0.96062421053648,0.25098899751901627,0.3273631040501457
6 m,45.499998000000005,1.0012043789029121,0.25049183517694473,0.241599529324596
6 m,45.749998000000005,1.036848671734333,0.2499946728348732,0.16030860995070942
6 m,45.999998000000005,1.054219201207161,0.24949750304222107,0.1508896963266444
6 m,46.249998,1.0305003300309181,0.24900034070014954,0.15417141492454192
6 m,46.499998,0.9864627420902252,0.248503178358078,0.22758122602708966
6 m,46.749998,0.9226447716355324,0.24800601601600647,0.39538672501584754
6 m,46.999998,0.8373757749795914,0.24750885367393494,0.4999647398255246
6 m,47.249998,0.7518336176872253,0.2470116913318634,0.48802178672559987
6 m,47.499998,0.671978235244751,0.24651452153921127,0.34780949569070885
6 m,47.749998,0.6072628051042557,0.24601735919713974,0.1642777586717051
6 m,47.999998,0.5664815753698349,0.2455201968550682,0.1392403444295472
6 m,48.249998,0.5355798527598381,0.24502303451299667,0.1932056379621518
6 m,48.499998,0.5059541389346123,0.24452587217092514,0.23685455605703412
6 m,48.749998,0.47786007821559906,0.244028702378273,0.2204287663441576
6 m,48.999998,0.46911556273698807,0.24353154003620148,0.19244467384227576
6 m,49.249998,0.4835894852876663,0.24303437769412994,0.23392979775626135
6 m,49.499998,0.5208417251706123,0.2425372153520584,0.25393445263181913
6 m,49.749998,0.568345308303833,0.24204005300998688,0.21307467130303806
6 m,49.999998,0.6008534207940102,0.24154288321733475,0.13370997478269805
6 m,50.249998,0.626970611512661,0.24104572087526321,0.07745717826982296
6 m,50.499998,0.6326683089137077,0.24054855853319168,0.07074513051282859
6 m,50.749998,0.6366020739078522,0.24005139619112015,0.08676760798516645
6 m,50.999998,0.6369892805814743,0.23955423384904861,0.10087400397984918
6 m,51.249998,0.6071393713355064,0.23905706405639648,0.21259823697610655
6 m,51.499998,0.5522259175777435,0.23855990171432495,0.3205853336966944
6 m,51.749998,0.47915031015872955,0.23806273937225342,0.41062234878401394
6 m,51.999998,0.39163488894701004,0.23756557703018188,0.3984944773973031
6 m,52.249998,0.3184959813952446,0.23706841468811035,0.3170117608536019
6 m,52.499998,0.2608903869986534,0.23657124489545822,0.16537146990230933
6 m,52.749998,0.24089161306619644,0.2360740825533867,0.05875885833907481
6 m,52.999998,0.2675027772784233,0.23557692021131516,0.14811481784194877
6 m,53.249998,0.31348341703414917,0.23507975786924362,0.24237628897578772
6 m,53.499998,0.3843882754445076,0.2345825955271721,0.3121507310203351
6 m,53.749998,0.4531930759549141,0.23408543318510056,0.31417681487470706
6 m,53.999998,0.5177173241972923,0.23358826339244843,0.27764994184696495
6 m,54.249998,0.5697823762893677,0.2330911010503769,0.18539657121859252
6 m,54.499998,0.6077662631869316,0.23259393870830536,0.11633052123316573
6 m,54.749998,0.6595361083745956,0.23209677636623383,0.22710043658133305
6 m,54.999998,0.7050309181213379,0.2315996140241623,0.26402240093788826
6 m,55.249998,0.7168363407254219,0.23110244423151016,0.2534923392206265
6 m,55.499998,0.7197278961539268,0.23060528188943863,0.24709714891099863
6 m,55.749998,0.7042559534311295,0.2301081195473671,0.27897321301525047
6 m,55.999998,0.6476140916347504,0.22961095720529556,0.39888719179654436
6 m,56.249998,0.5452246516942978,0.22911379486322403,0.5019355461790742
6 m,56.499998,0.4214417338371277,0.2286166250705719,0.4153644637828932
6 m,56.749998,0.33177581429481506,0.22811946272850037,0.35876218990025643
6 m,56.999998,0.2882886603474617,0.22762230038642883,0.2948295237431568
6 m,57.249998,0.26727693527936935,0.2271251380443573,0.225755297535695
6 m,57.499998,0.2781396731734276,0.22662797570228577,0.2506351682833759
6 m,57.749998000000005,0.33061403036117554,0.22613080590963364,0.2771005761421942
6 m,57.999998000000005,0.3944409713149071,0.2256336435675621,0.23750443101117882
6 m,58.249998000000005,0.43187857419252396,0.22513648122549057,0.16112359943406593
6 m,58.499998000000005,0.439289815723896,0.22463931888341904,0.1287514357220595
6 m,58.749998000000005,0.42142073065042496,0.2241421565413475,0.1592843942077825
6 m,58.999998000000005,0.42907244712114334,0.22364498674869537,0.17524424410497982
6 m,59.249998000000005,0.4423271268606186,0.22314782440662384,0.19774624243416083
6 m,59.499998000000005,0.46452122181653976,0.2226506620645523,0.23852455655942656
6 m,59.749998000000005,0.4807054176926613,0.22215349972248077,0.2358288031070519
6 m,59.999998000000005,0.5095476061105728,0.22165633738040924,0.18815791739848964
6 m,60.249998000000005,0.5185509547591209,0.2211591750383377,0.15896427013800607
6 m,60.499998000000005,0.4914933443069458,0.22066200524568558,0.21541156615512155
6 m,60.749998000000005,0.42396753281354904,0.22016484290361404,0.24664703674563718
6 m,60.999998000000005,0.3548351377248764,0.2196676805615425,0.30986568896534183
6 m,61.249998000000005,0.27588460594415665,0.21917051821947098,0.3167843153235659
6 m,61.499998000000005,0.21326889842748642,0.21867335587739944,0.2966693026800002
6 m,61.749998000000005,0.1623305007815361,0.21817618608474731,0.18351408912729836
6 m,61.999998000000005,0.1476515531539917,0.21767902374267578,0.12599285629848458
6 m,62.249998000000005,0.15449776500463486,0.21718186140060425,0.14496410809558996
6 m,62.499998000000005,0.18970729410648346,0.21668469905853271,0.19380018829230208
6 m,62.749998000000005,0.24698347598314285,0.21618753671646118,0.23405616272764146
6 m,62.999998000000005,0.297265462577343,0.21569036692380905,0.19973163136246755
6 m,63.249998000000005,0.33624060451984406,0.21519320458173752,0.1546309106350397
6 m,63.499998000000005,0.3565589413046837,0.21469604223966599,0.11305052676639334
6 m,63.749998,0.3671509921550751,0.21419887989759445,0.09514212979952755
6 m,63.999998,0.3900316655635834,0.21370171755552292,0.10705410048577454
6 m,64.24999799999999,0.41782067716121674,0.2132045477628708,0.1846731578054675
6 m,64.49999799999999,0.44337332993745804,0.21270738542079926,0.2189856083852524
6 m,64.74999799999999,0.47468868643045425,0.21221022307872772,0.1928548321586671
6 m,64.99999799999999,0.5002654418349266,0.2117130607366562,0.15621497430159742
6 m,65.24999799999999,0.5062481760978699,0.21121589839458466,0.14395180912889488
6 m,65.49999799999999,0.4676760211586952,0.21071872860193253,0.2651553522314944
6 m,65.74999799999999,0.386920690536499,0.210221566259861,0.36951951094762187
6 m,65.99999799999999,0.28421731293201447,0.20972440391778946,0.4394421722831183
6 m,66.24999799999999,0.19769129157066345,0.20922724157571793,0.41446597784071376
6 m,66.49999799999999,0.16564815491437912,0.2087300792336464,0.3362292776621214
6 m,66.74999799999999,0.16911087930202484,0.20823291689157486,0.34635847193214053
6 m,66.99999799999999,0.1865806132555008,0.20773574709892273,0.35737581073341507
6 m,67.24999799999999,0.20302018523216248,0.2072385847568512,0.3320160477964664
6 m,67.49999799999999,0.20765051990747452,0.20674142241477966,0.32108707312779744
6 m,67.74999799999999,0.19694163650274277,0.20624426007270813,0.3397085153185371
6 m,67.99999799999999,0.16690438985824585,0.2057470977306366,0.3233681562031646
6 m,68.24999799999999,0.13391956686973572,0.20524992793798447,0.20799830713389383
6 m,68.49999799999999,0.1368694081902504,0.20475276559591293,0.20515596744647102
6 m,68.74999799999999,0.20545464009046555,0.2042556032538414,0.3190852362638541
6 m,68.99999799999999,0.2804618999361992,0.20375844091176987,0.31602256949315866
6 m,69.24999799999999,0.31728073954582214,0.20326127856969833,0.24426130657377207
6 m,69.49999799999999,0.32412944734096527,0.2027641087770462,0.2238208923286648
6 m,69.74999799999999,0.3055187463760376,0.20226694643497467,0.2574992361816351
6 m,69.99999799999999,0.2689199894666672,0.20176978409290314,0.2896823931527548
6 m,70.24999799999999,0.24350687861442566,0.2012726217508316,0.2701781695181053
6 m,70.49999799999999,0.22922822833061218,0.20077545940876007,0.2138334769633915
6 m,70.74999799999999,0.24121472984552383,0.20027828961610794,0.21888914741919452
6 m,70.99999799999999,0.2578851729631424,0.1997811272740364,0.19003275561999838
6 m,71.24999799999999,0.24060821533203125,0.19928396493196487,0.24605093068851466
6 m,71.49999799999999,0.19560745358467102,0.19878680258989334,0.3476348375050661
6 m,71.74999799999999,0.13191204518079758,0.1982896402478218,0.40703443293730396
6 m,71.99999799999999,0.05952071398496628,0.19779247045516968,0.3346952047205831
6 m,72.24999799999999,0.01033928245306015,0.19729530811309814,0.16841342700892117
6 m,72.49999799999999,0.00926508754491806,0.1967981457710266,0.1586201484350143
6 m,72.74999799999999,0.02853957563638687,0.19630098342895508,0.17934140405364513
6 m,72.99999799999999,0.05812838673591614,0.19580382108688354,0.15308411222716095
6 m,73.24999799999999,0.08062714338302612,0.195306658744812,0.10234871908168452
6 m,73.49999799999999,0.10189995914697647,0.19480948895215988,0.06629621556477604
6 m,73.74999799999999,0.12181908637285233,0.19431232661008835,0.10390877968014521
6 m,73.99999799999999,0.1520613133907318,0.19381516426801682,0.18361873142527646
6 m,74.24999799999999,0.18994086235761642,0.19331800192594528,0.2291801599727834
6 m,74.49999799999999,0.24105535447597504,0.19282083958387375,0.2278503302920362
6 m,74.74999799999999,0.29163743555545807,0.19232366979122162,0.19234476441115642
6 m,74.99999799999999,0.3244566544890404,0.19182650744915009,0.10926766347094977
6 m,75.24999799999999,0.3373858854174614,0.19132934510707855,0.06803249590376609
6 m,75.49999799999999,0.33365777134895325,0.19083218276500702,0.0786473220140062
6 m,75.74999799999999,0.30894866585731506,0.19033502042293549,0.12687208504683758
6 m,75.99999799999999,0.2732492685317993,0.18983785063028336,0.18569051512017642
6 m,76.24999799999999,0.24020122736692429,0.18934068828821182,0.16924447410196014
6 m,76.49999799999999,0.23131775110960007,0.1888435259461403,0.14169361323334023
6 m,76.74999799999999,0.23604716360569,0.18834636360406876,0.15084235425115644
6 m,76.99999799999999,0.24657795578241348,0.18784920126199722,0.16444567636542806
6 m,77.24999799999999,0.24772414565086365,0.1873520314693451,0.16949042914915782
6 m,77.49999799999999,0.2258467972278595,0.18685486912727356,0.2514554808326504
6 m,77.74999799999999,0.17748750746250153,0.18635770678520203,0.359262851358411
6 m,77.99999799999999,0.1038816049695015,0.1858605444431305,0.3884660040597481
6 m,78.24999799999999,0.03809654712677002,0.18536338210105896,0.2901394341053018
6 m,78.49999799999999,0.02608373761177063,0.18486621230840683,0.25061941568873963
6 m,78.74999799999999,0.05386144667863846,0.1843690499663353,0.3410750455788992
6 m,78.99999799999999,0.11663470417261124,0.18387188762426376,0.39218218783303477
6 m,79.24999799999999,0.17431803792715073,0.18337472528219223,0.3179192074260425
6 m,79.49999799999999,0.205424502491951,0.1828775629401207,0.22803061514136633
6 m,79.74999799999999,0.19196254760026932,0.18238040059804916,0.276962789626032
6 m,79.99999799999999,0.13285472989082336,0.18188323080539703,0.37509061841706953
6 m,80.24999799999999,0.04615882784128189,0.1813860684633255,0.3617282700174735
6 m,80.49999799999999,-0.034871138632297516,0.18088890612125397,0.2840279456024035
6 m,80.74999799999999,-0.09826179593801498,0.18039174377918243,0.19430574174433346
6 m,80.99999799999999,-0.13041936606168747,0.1798945814371109,0.12142356901248355
6 m,81.24999799999999,-0.12556657195091248,0.17939741164445877,0.1426399010528736
6 m,81.49999799999999,-0.09546881914138794,0.17890024930238724,0.19847354060467645
6 m,81.74999799999999,-0.05638575553894043,0.1784030869603157,0.2182859790419772
6 m,81.99999799999999,-0.01716679334640503,0.17790592461824417,0.19951264901990187
6 m,82.24999799999999,0.014217585325241089,0.17740876227617264,0.13881523924188588
6 m,82.49999799999999,0.029646940529346466,0.1769115924835205,0.07958371003389951
6 m,82.74999799999999,0.02447335422039032,0.17641443014144897,0.08472072407639894
6 m,82.99999799999999,-0.0012931153178215027,0.17591726779937744,0.08636570155003974
6 m,83.24999799999999,-0.018384777009487152,0.1754201054573059,0.08385653573229043
6 m,83.49999799999999,-0.01844223588705063,0.17492294311523438,0.09208801757562085
6 m,83.74999799999999,0.0023462921380996704,0.17442577332258224,0.1617172787862469
6 m,83.99999799999999,0.028430290520191193,0.1739286109805107,0.18448226403586712
6 m,84.24999799999999,0.04537290334701538,0.17343144863843918,0.16472294387042588
6 m,84.49999799999999,0.07106953859329224,0.17293428629636765,0.1505426740942741
6 m,84.74999799999999,0.10711801797151566,0.1724371239542961,0.136544268352937
6 m,84.99999799999999,0.12472134828567505,0.17193995416164398,0.125609923292512
6 m,85.24999799999999,0.11617162078619003,0.17144279181957245,0.13295347409226044
6 m,85.49999799999999,0.09113037586212158,0.17094562947750092,0.17634281996095247
6 m,85.74999799999999,0.07022295892238617,0.17044846713542938,0.21324916136859523
6 m,85.99999799999999,0.048584289848804474,0.16995130479335785,0.22742694470094468
6 m,86.24999799999999,0.017796315252780914,0.16945414245128632,0.16858958487238207
6 m,86.49999799999999,-0.01396758109331131,0.16895697265863419,0.09029958412022179
6 m,86.74999799999999,-0.03171823173761368,0.16845981031656265,0.086840675323716
6 m,86.99999799999999,-0.03461166471242905,0.16796264797449112,0.08912246825349071
6 m,87.24999799999999,-0.02182142436504364,0.1674654856324196,0.10217222384098076
6 m,87.49999799999999,-0.01583070307970047,0.16696832329034805,0.10978800480427832
6 m,87.74999799999999,-0.009509287774562836,0.16647115349769592,0.11887180235201866
6 m,87.99999799999999,0.011052228510379791,0.1659739911556244,0.14877412660440062
6 m,88.24999799999999,0.04849424213171005,0.16547682881355286,0.13797868827378007
6 m,88.49999799999999,0.07868839055299759,0.16497966647148132,0.09963029215490687
6 m,88.74999799999999,0.09214641153812408,0.1644825041294098,0.08656901702725987
6 m,88.99999799999999,0.12165327370166779,0.16398533433675766,0.15710065534060502
6 m,89.24999799999999,0.14587628841400146,0.16348817199468613,0.13913469395422826
6 m,89.49999799999999,0.14512469619512558,0.1629910096526146,0.1404930063871013
6 m,89.74999799999999,0.11687784641981125,0.16249384731054306,0.2053950087935205
6 m,89.99999799999999,0.07176411896944046,0.16199668496847153,0.27834022361820726
6 m,90.24999799999999,0.007703967392444611,0.1614995151758194,0.3564346099839624
6 m,90.49999799999999,-0.06916080415248871,0.16100235283374786,0.37388096024559025
6 m,90.74999799999999,-0.14687591046094894,0.16050519049167633,0.23142490223458861
6 m,90.99999799999999,-0.1843177005648613,0.1600080281496048,0.13593410120712793
6 m,91.24999799999999,-0.19969329237937927,0.15951086580753326,0.092574059516893
6 m,91.49999799999999,-0.1975913718342781,0.15901369601488113,0.09479894225632296
6 m,91.74999799999999,-0.17206810414791107,0.1585165336728096,0.1469458768931969
6 m,91.99999799999999,-0.1344452202320099,0.15801937133073807,0.14844664047312658
6 m,92.24999799999999,-0.09304926544427872,0.15752220898866653,0.15277058437011704
6 m,92.49999799999999,-0.05745801329612732,0.157025046646595,0.15554430221473295
6 m,92.74999799999999,-0.02776665985584259,0.15652788430452347,0.12561212562149396
6 m,92.99999799999999,-0.004073083400726318,0.15603071451187134,0.07569182443004212
6 m,93.24999799999999,0.015228495001792908,0.1555335521697998,0.056108223289204236
